pga_g,pga_growth,p_wave_sec,depth_km,distance_km,stations,noise_level,warning
0.7579,0.562,3.33,8.75,4.21,74,0.261,1
0.9255,0.1629,3.1,21.63,172.13,49,0.091,1
0.2448,0.3706,1.37,42.81,51.36,53,0.039,0
0.1718,0.2574,5.3,64.44,105.41,27,0.153,0
1.1438,0.1941,1.89,40.29,94.33,41,0.2,1
0.714,0.4815,0.7,11.21,113.63,77,0.229,1
0.135,0.3392,7.51,43.27,192.76,48,0.284,0
0.6529,0.7573,7.91,77.42,108.19,6,0.291,1
0.9144,0.2026,4.76,45.07,47.02,61,0.074,1
0.518,0.6389,5.94,98.99,199.78,34,0.216,0
1.0378,0.6295,0.82,50.76,100.6,61,0.058,1
0.5924,0.0767,7.11,45.06,194.1,62,0.155,0
0.6408,0.3558,1.5,3.8,112.32,47,0.092,1
0.8936,0.449,6.47,2.51,27.4,27,0.273,1
0.2776,0.3044,1.48,57.29,117.22,67,0.289,0
0.9956,0.3076,0.77,95.85,107.34,75,0.174,1
1.0811,0.2844,3.62,50.02,75.81,65,0.117,1
0.275,0.2511,4.15,98.12,24.0,27,0.146,0
1.0403,0.8916,4.29,69.62,51.89,10,0.044,1
0.9789,0.4298,7.19,48.84,52.3,20,0.275,1
0.1604,0.749,5.74,21.74,99.97,78,0.054,0
0.1383,0.2445,7.41,72.91,102.28,79,0.092,0
0.1365,0.2693,6.9,26.52,127.68,31,0.197,0
1.145,0.129,0.57,22.53,157.63,45,0.1,1
1.002,0.8457,7.42,98.52,14.72,50,0.084,1
1.0495,0.1109,2.35,97.42,44.1,58,0.058,1
0.3837,0.2982,3.34,19.79,31.49,52,0.013,0
0.9031,0.387,7.44,23.89,175.62,30,0.078,1
0.395,0.5908,6.29,96.56,104.66,13,0.218,0
0.6519,0.0972,4.85,45.71,66.16,42,0.21,1
0.1532,0.1045,0.89,27.82,127.68,7,0.291,0
0.9524,0.6883,4.05,99.58,120.2,16,0.072,1
0.8339,0.0142,1.51,77.29,138.36,2,0.032,0
0.2592,0.8262,1.2,34.96,48.57,78,0.25,1
0.2259,0.184,3.66,51.69,8.32,13,0.075,0
0.1371,0.2333,6.47,55.56,72.02,5,0.178,0
0.294,0.5133,6.92,38.11,87.47,74,0.12,0
0.0724,0.7582,4.87,3.23,30.93,65,0.086,0
0.6452,0.4536,6.99,91.37,19.45,15,0.084,1
0.2758,0.6909,4.25,36.84,51.47,39,0.272,1
1.1264,0.2307,1.03,63.9,5.93,39,0.108,1
0.2006,0.3348,6.4,68.71,117.48,14,0.044,0
0.6242,0.7739,2.77,65.35,98.31,63,0.171,1
0.6259,0.2604,3.98,93.81,98.06,1,0.103,0
1.1527,0.0869,0.65,55.64,72.16,32,0.231,1
0.8439,0.5411,5.39,51.04,8.12,58,0.161,1
0.0314,0.1406,3.09,68.5,18.74,22,0.066,0
1.0965,0.8666,7.8,28.33,192.11,53,0.109,1
0.1812,0.7804,5.78,2.73,13.66,72,0.255,1
1.1292,0.5514,2.96,75.81,182.8,60,0.216,1
1.0764,0.7664,2.12,15.96,21.97,75,0.167,1
0.1067,0.6366,1.8,98.44,108.31,19,0.153,0
0.3985,0.5994,5.82,47.09,55.84,54,0.099,1
0.3627,0.3334,3.34,76.73,96.22,8,0.087,0
0.9285,0.282,1.14,49.65,174.04,42,0.024,1
0.584,0.6016,4.41,19.93,139.4,17,0.202,0
0.3583,0.1122,6.63,83.83,93.57,17,0.121,0
0.4283,0.0451,7.97,90.97,131.11,21,0.152,0
0.2982,0.4004,1.35,17.52,196.86,35,0.096,0
1.0159,0.2085,0.59,38.2,111.45,74,0.209,1
0.5929,0.4953,7.1,8.84,72.21,19,0.165,1
0.2754,0.6065,3.06,93.87,180.48,44,0.09,0
0.6222,0.1029,3.19,9.31,100.82,60,0.231,0
1.1185,0.0569,6.84,85.88,14.7,28,0.123,1
0.5161,0.5516,4.45,87.05,179.15,42,0.071,0
0.8771,0.5273,4.19,20.47,144.31,65,0.147,1
